wavelenghts,device 1,device 2,difference ,avg,max
413.15,1497.7,1500.8,3.1,,
413.61,1500,1502.2,2.2,,
414.08,1501,1500.6,0.4,,
414.54,1499.7,1500,0.3,,
415,1498.7,1499.4,0.7,,
415.46,1501,1501.5,0.5,,
415.92,1500.7,1499.7,1,,
416.39,1500.7,1500,0.7,,
416.85,1501,1501.1,0.1,,
417.31,1501.7,1501.1,0.6,,
417.77,1500,1500.5,0.5,,
418.23,1500.3,1500.7,0.4,,
418.7,1502,1498.9,3.1,,
419.16,1503.3,1496.9,6.4,,
419.62,1500,1500,0,,
420.08,1500.3,1498.2,2.1,,
420.55,1500.3,1501.8,1.5,,
421.01,1500.7,1501.3,0.6,,
421.47,1504,1501.5,2.5,,
421.93,1501.3,1498.2,3.1,,
422.4,1499.7,1499.8,0.1,,
422.86,1502,1501.4,0.6,,
423.32,1498,1500.5,2.5,,
423.79,1501,1501.3,0.3,,
424.25,1500.7,1500.9,0.2,,
424.71,1501.7,1498.8,2.9,,
425.17,1501.7,1498.2,3.5,,
425.64,1501.3,1499.1,2.2,,
426.1,1500.3,1498.6,1.7,,
426.56,1500.7,1501.1,0.4,,
427.03,1503,1498.3,4.7,,
427.49,1498,1497.1,0.9,,
427.95,1499.7,1499.8,0.1,,
428.42,1498,1502.3,4.3,,
428.88,1500.7,1502.9,2.2,,
429.34,1501.3,1500.8,0.5,,
429.8,1497.3,1501.4,4.1,,
430.27,1500,1500.1,0.1,,
430.73,1500.7,1501.8,1.1,,
431.19,1501,1499.2,1.8,,
431.66,1499.7,1499.9,0.2,,
432.12,1498.7,1499.7,1,,
432.59,1501.7,1500,1.7,,
433.05,1498.7,1500.2,1.5,,
433.51,1500.7,1501.2,0.5,,
433.98,1499,1500.4,1.4,,
434.44,1501,1499.3,1.7,,
434.9,1502.7,1499.4,3.3,,
435.37,1497,1499.6,2.6,,
435.83,1497.7,1497.4,0.3,,
436.29,1499,1498.3,0.7,,
436.76,1501.3,1501.4,0.1,,
437.22,1498.7,1499.9,1.2,,
437.69,1501.3,1499.5,1.8,,
438.15,1500.7,1500.7,0,,
438.61,1497.7,1500.6,2.9,,
439.08,1499.7,1498.6,1.1,,
439.54,1498.7,1501.8,3.1,,
440.01,1500.3,1500.4,0.1,,
440.47,1500,1500.7,0.7,,
440.93,1499,1501,2,,
441.4,1501,1501,0,,
441.86,1499.3,1499.2,0.1,,
442.33,1501.3,1500.5,0.8,,
442.79,1500,1501.1,1.1,,
443.26,1501,1499.6,1.4,,
443.72,1501.3,1501,0.3,,
444.18,1498.3,1498.9,0.6,,
444.65,1501,1499.1,1.9,,
445.11,1501,1503.4,2.4,,
445.58,1499.7,1498.8,0.9,,
446.04,1500.7,1499.9,0.8,,
446.51,1500.7,1499.2,1.5,,
446.97,1499.3,1498.9,0.4,,
447.44,1499,1500.3,1.3,,
447.9,1499,1497.8,1.2,,
448.37,1498.3,1498.9,0.6,,
448.83,1499.7,1498.5,1.2,,
449.29,1500.3,1499.5,0.8,,
449.76,1498.7,1497.9,0.8,,
450.22,1500,1500,0,,
450.69,1499,1499.8,0.8,,
451.15,1499,1500.6,1.6,,
451.62,1502,1496.4,5.6,,
452.08,1501.3,1497.7,3.6,,
452.55,1500,1498.3,1.7,,
453.01,1499,1498.2,0.8,,
453.48,1502.7,1500,2.7,,
453.95,1501,1500.2,0.8,,
454.41,1499,1499.5,0.5,,
454.88,1499,1501,2,,
455.34,1502.7,1501.1,1.6,,
455.81,1499.3,1501.7,2.4,,
456.27,1501.3,1499.1,2.2,,
456.74,1498.3,1499.9,1.6,,
457.2,1501,1499.4,1.6,,
457.67,1500.7,1500.3,0.4,,
458.13,1502,1499.8,2.2,,
458.6,1499.3,1500.8,1.5,,
459.06,1498.3,1498.4,0.1,,
459.53,1501.7,1499.8,1.9,,
460,1499.3,1501.6,2.3,,
460.46,1501,1500.4,0.6,,
460.93,1497,1501.2,4.2,,
461.39,1497.7,1500,2.3,,
461.86,1501.7,1499.1,2.6,,
462.32,1499,1500.6,1.6,,
462.79,1499,1499.1,0.1,,
463.26,1500.7,1501,0.3,,
463.72,1502,1500.4,1.6,,
464.19,1501.7,1501.3,0.4,,
464.65,1500.7,1500.7,0,,
465.12,1501.7,1499.9,1.8,,
465.59,1499.3,1497.4,1.9,,
466.05,1497.7,1498.4,0.7,,
466.52,1501.3,1501,0.3,,
466.99,1503.3,1500.7,2.6,,
467.45,1500,1500.3,0.3,,
467.92,1500.3,1498.7,1.6,,
468.38,1501,1500,1,,
468.85,1500,1499.6,0.4,,
469.32,1500,1497.4,2.6,,
469.78,1501.3,1498.3,3,,
470.25,1500.3,1501.4,1.1,,
470.72,1502,1502.6,0.6,,
471.18,1500.7,1498.7,2,,
471.65,1502,1500.3,1.7,,
472.12,1497.3,1499.7,2.4,,
472.58,1500,1499.7,0.3,,
473.05,1500,1501.3,1.3,,
473.52,1499.3,1498.7,0.6,,
473.98,1499.7,1499,0.7,,
474.45,1499,1500.7,1.7,,
474.92,1500.3,1500.7,0.4,,
475.38,1499,1498.7,0.3,,
475.85,1501.7,1499.3,2.4,,
476.32,1499.7,1500.6,0.9,,
476.79,1498.7,1500,1.3,,
477.25,1500,1500,0,,
477.72,1500,1499.3,0.7,,
