wavelenghts,device 1,device 2,difference ,avg,max
681.16,1497.7,1501,3.3,,
681.64,1501,1500.8,0.2,,
682.12,1500,1499.3,0.7,,
682.61,1500.7,1497.6,3.1,,
683.09,1500.7,1498.7,2,,
683.57,1497.7,1499.9,2.2,,
684.06,1498.7,1499.6,0.9,,
684.54,1501.7,1499.4,2.3,,
685.03,1499.3,1499.9,0.6,,
685.51,1498,1500.5,2.5,,
685.99,1500,1499.8,0.2,,
686.48,1500,1499.1,0.9,,
686.96,1501,1499.2,1.8,,
687.45,1499.3,1497.8,1.5,,
687.93,1498.3,1500.2,1.9,,
688.41,1502,1501.1,0.9,,
688.9,1500.3,1499.9,0.4,,
689.38,1501.7,1500.1,1.6,,
689.87,1497.3,1502,4.7,,
690.35,1502,1501.4,0.6,,
690.84,1498.7,1497.8,0.9,,
691.32,1499.7,1497.2,2.5,,
691.8,1499.7,1500.3,0.6,,
692.29,1499.3,1500,0.7,,
692.77,1500.7,1498.2,2.5,,
693.26,1502,1499.4,2.6,,
693.74,1499.7,1498,1.7,,
694.23,1500,1500.6,0.6,,
694.71,1500.3,1499.7,0.6,,
695.2,1501,1500.3,0.7,,
695.68,1499.3,1500,0.7,,
696.17,1498.7,1499.6,0.9,,
696.65,1500.7,1499.3,1.4,,
697.14,1498.3,1498.9,0.6,,
697.62,1500.7,1501,0.3,,
698.11,1500,1500.6,0.6,,
698.59,1499.3,1499.4,0.1,,
699.08,1501.3,1501,0.3,,
699.56,1502,1501,1,,
700.05,1498.7,1500.4,1.7,,
700.53,1501.7,1501,0.7,,
701.02,1497.3,1498.7,1.4,,
701.5,1501.3,1499.6,1.7,,
701.99,1501.7,1498.7,3,,
702.47,1501,1499,2,,
702.96,1498,1495.3,2.7,,
703.44,1500.3,1499.2,1.1,,
703.93,1498.7,1501.9,3.2,,
704.42,1499.3,1499.3,0,,
704.9,1502,1500.3,1.7,,
705.39,1501.3,1502.6,1.3,,
705.87,1497.7,1499.1,1.4,,
706.36,1500.3,1502.2,1.9,,
706.84,1499,1500.1,1.1,,
707.33,1498,1500.3,2.3,,
707.81,1502,1499.7,2.3,,
708.3,1499,1498.4,0.6,,
708.79,1498.3,1499.3,1,,
709.27,1500,1497.8,2.2,,
709.76,1499.7,1499.8,0.1,,
710.24,1500.3,1501.5,1.2,,
710.73,1499.7,1499,0.7,,
711.22,1501.3,1498.4,2.9,,
711.7,1500.7,1502.2,1.5,,
712.19,1502.3,1501.5,0.8,,
712.67,1499,1500.2,1.2,,
713.16,1497.7,1500.9,3.2,,
713.65,1501,1500.4,0.6,,
714.13,1499.3,1501.8,2.5,,
714.62,1502,1503.1,1.1,,
715.11,1499.7,1500.5,0.8,,
715.59,1499.3,1498.1,1.2,,
716.08,1499.7,1499.3,0.4,,
716.57,1499.7,1501.3,1.6,,
717.05,1499.7,1501.4,1.7,,
717.54,1499,1500.5,1.5,,
718.03,1500.7,1501.1,0.4,,
718.51,1501,1501.6,0.6,,
719,1498,1500.9,2.9,,
719.49,1499.7,1500.1,0.4,,
719.97,1499.7,1501,1.3,,
720.46,1497.7,1501.6,3.9,,
720.95,1501,1499.6,1.4,,
721.43,1499.7,1499.5,0.2,,
721.92,1498,1500.4,2.4,,
722.41,1498.3,1500.4,2.1,,
722.89,1500.3,1501.8,1.5,,
723.38,1501,1499.6,1.4,,
723.87,1501.7,1499.4,2.3,,
724.35,1500,1499.4,0.6,,
724.84,1501.7,1500.5,1.2,,
725.33,1499.3,1500.3,1,,
725.82,1501,1501.4,0.4,,
726.3,1499.7,1499.2,0.5,,
726.79,1502.3,1501.7,0.6,,
727.28,1499.3,1501,1.7,,
727.77,1500.7,1500,0.7,,
728.25,1501.3,1499.5,1.8,,
728.74,1499,1501.1,2.1,,
729.23,1500.7,1498.9,1.8,,
729.72,1500.3,1497.6,2.7,,
730.2,1498,1500.3,2.3,,
730.69,1500.7,1498,2.7,,
731.18,1501,1499.7,1.3,,
731.67,1500.3,1499.9,0.4,,
732.15,1500.3,1500.7,0.4,,
732.64,1502.7,1501.7,1,,
733.13,1500.3,1499.6,0.7,,
733.62,1498.7,1499.6,0.9,,
734.11,1498,1498.9,0.9,,
734.59,1500,1500.6,0.6,,
735.08,1500,1500.8,0.8,,
735.57,1500.7,1498.5,2.2,,
736.06,1497.7,1500.2,2.5,,
736.55,1501.3,1502,0.7,,
737.03,1499.3,1500.1,0.8,,
737.52,1501.3,1500.1,1.2,,
738.01,1499,1500.4,1.4,,
738.5,1499.3,1500.2,0.9,,
738.99,1501,1500.1,0.9,,
739.48,1499.3,1500,0.7,,
739.96,1500,1501.4,1.4,,
740.45,1497.7,1501.3,3.6,,
740.94,1497,1501.2,4.2,,
741.43,1500.3,1502,1.7,,
741.92,1500.7,1502,1.3,,
742.41,1498.3,1501.5,3.2,,
742.9,1501,1501.5,0.5,,
743.38,1501.3,1500.7,0.6,,
743.87,1501,1499.6,1.4,,
744.36,1501.3,1499.4,1.9,,
744.85,1500.3,1498.8,1.5,,
745.34,1498.7,1500.2,1.5,,
745.83,1499.7,1501.1,1.4,,
746.32,1498,1500,2,,
746.81,1496.7,1499.5,2.8,,
747.29,1500.3,1499.9,0.4,,
747.78,1499.3,1499.1,0.2,,
748.27,1499.7,1498.5,1.2,,
748.76,1499,1500.1,1.1,,
749.25,1499.3,1498.9,0.4,,
749.74,1497.7,1499,1.3,,
750.23,1500,1499.4,0.6,,
750.72,1501.3,1499.1,2.2,,
751.21,1498.7,1500.3,1.6,,
751.7,1498,1500.8,2.8,,
752.19,1500.3,1500.9,0.6,,
752.68,1499.7,1499.9,0.2,,
753.17,1500.3,1500.8,0.5,,
753.66,1498.3,1501.3,3,,
754.15,1501.7,1500.4,1.3,,
754.63,1497.7,1500.4,2.7,,
755.12,1502.3,1501,1.3,,
755.61,1500,1499.8,0.2,,
756.1,1498.7,1499.5,0.8,,
756.59,1501.7,1501.1,0.6,,
757.08,1502,1500.1,1.9,,
757.57,1499.3,1498.5,0.8,,
758.06,1501.7,1498.8,2.9,,
758.55,1499.3,1500.3,1,,
759.04,1499.3,1500,0.7,,
759.53,1498.7,1501.2,2.5,,
760.02,1502.7,1499.7,3,,
760.51,1501.7,1499.6,2.1,,
761,1502.3,1500.3,2,,
761.49,1502.3,1497.8,4.5,,
761.98,1499,1500.9,1.9,,
762.47,1498.3,1502,3.7,,
762.96,1498.7,1499.5,0.8,,
763.45,1499.3,1498.9,0.4,,
763.94,1502.3,1498.5,3.8,,
764.44,1501,1499.6,1.4,,
764.93,1497.3,1500.6,3.3,,
765.42,1501.3,1499.9,1.4,,
765.91,1499.3,1498.9,0.4,,
766.4,1500.7,1501.5,0.8,,
766.89,1501.3,1500.1,1.2,,
767.38,1500.7,1497.7,3,,
767.87,1500,1501.1,1.1,,
768.36,1499,1501.3,2.3,,
768.85,1498.7,1500.9,2.2,,
769.34,1500.7,1500,0.7,,
769.83,1500.7,1499.9,0.8,,
770.32,1497.7,1501.3,3.6,,
770.81,1502.3,1500.8,1.5,,
771.3,1500.3,1499.5,0.8,,
771.8,1499.7,1501.3,1.6,,
772.29,1500.3,1500.7,0.4,,
772.78,1500.7,1500.6,0.1,,
773.27,1500,1500,0,,
773.76,1496.3,1499.5,3.2,,
774.25,1504,1497.6,6.4,,
774.74,1500,1501,1,,
775.23,1501,1501.7,0.7,,
775.73,1501,1502.6,1.6,,
776.22,1503.3,1500.7,2.6,,
776.71,1501.3,1501,0.3,,
777.2,1499.3,1501.9,2.6,,
777.69,1501.7,1498,3.7,,
778.18,1502.7,1499.7,3,,
778.67,1499.7,1500,0.3,,
779.17,1499.3,1500,0.7,,
779.66,1499.7,1504.3,4.6,,
780.15,1500.7,1500.4,0.3,,
780.64,1499.3,1501.3,2,,
781.13,1501,1500.1,0.9,,
781.62,1497.7,1501.9,4.2,,
782.12,1501,1498.8,2.2,,
782.61,1499.3,1499.9,0.6,,
783.1,1499.3,1500.3,1,,
783.59,1499.3,1498.8,0.5,,
784.08,1502,1499,3,,
784.58,1501.3,1499,2.3,,
785.07,1498.3,1502.4,4.1,,
785.56,1499,1500.6,1.6,,
786.05,1502,1500.3,1.7,,
786.54,1499,1499.2,0.2,,
787.04,1500,1499,1,,
787.53,1500,1501,1,,
788.02,1500,1502.5,2.5,,
788.51,1498,1499,1,,
789.01,1498,1499.5,1.5,,
789.5,1498.3,1502.2,3.9,,
789.99,1501.3,1502.4,1.1,,
790.48,1502.7,1499.9,2.8,,
790.98,1499.7,1499.3,0.4,,
791.47,1500.7,1500.4,0.3,,
791.96,1500.7,1500.7,0,,
792.45,1501.7,1498.3,3.4,,
792.95,1500.3,1499,1.3,,
793.44,1499.7,1499.3,0.4,,
793.93,1500.3,1502.2,1.9,,
794.43,1499.7,1502,2.3,,
794.92,1501,1499.9,1.1,,
795.41,1499.7,1499.6,0.1,,
795.9,1504,1500.9,3.1,,
796.4,1498.7,1500.6,1.9,,
796.89,1499.3,1498.1,1.2,,
797.38,1500,1497.1,2.9,,
797.88,1499.7,1501.4,1.7,,
798.37,1499.7,1500.8,1.1,,
798.86,1499,1499.8,0.8,,
799.36,1500,1499.7,0.3,,
799.85,1502.3,1502.9,0.6,,
800.34,1499.7,1503.2,3.5,,
800.84,1498.3,1499.5,1.2,,
801.33,1501,1500.2,0.8,,
801.82,1500.3,1502,1.7,,
802.32,1501.3,1502.6,1.3,,
802.81,1497.7,1500.5,2.8,,
803.3,1498.7,1500,1.3,,
803.8,1498,1501.6,3.6,,
804.29,1501,1501.3,0.3,,
804.78,1500.3,1501.3,1,,
805.28,1499,1500,1,,
805.77,1500,1499.6,0.4,,
806.27,1499.7,1500,0.3,,
806.76,1500,1500.6,0.6,,
807.25,1497.7,1499.6,1.9,,
807.75,1501,1500.6,0.4,,
808.24,1501.3,1501.4,0.1,,
808.74,1500.7,1502,1.3,,
809.23,1496,1501.2,5.2,,
809.72,1499.3,1500,0.7,,
810.22,1501.7,1499.6,2.1,,
810.71,1501.7,1499.9,1.8,,
811.21,1501,1499.8,1.2,,
811.7,1500.3,1500.4,0.1,,
812.19,1502,1500.7,1.3,,
812.69,1499,1501.8,2.8,,
813.18,1500.7,1502.7,2,,
813.68,1500,1500.3,0.3,,
814.17,1500,1500.4,0.4,,
814.67,1499.7,1501.7,2,,
815.16,1499.3,1501.9,2.6,,
815.66,1500.7,1502.4,1.7,,
816.15,1498,1501.7,3.7,,
816.65,1500,1501.6,1.6,,
817.14,1499.3,1501.6,2.3,,
817.63,1501.3,1501.8,0.5,,
818.13,1502,1501.6,0.4,,
818.62,1498.3,1499.9,1.6,,
819.12,1499.7,1500.9,1.2,,
819.61,1498.7,1500.9,2.2,,
820.11,1500.3,1499.7,0.6,,
820.6,1501.7,1499.9,1.8,,
821.1,1501.7,1501.1,0.6,,
821.59,1497,1501.6,4.6,,
822.09,1501.3,1500.2,1.1,,
822.58,1499.7,1499.7,0,,
